"slug","tipo","t_html","t_strings","t_app","s_app","s_html"
"be-prepared","SIM","True","True","True","True","True"
"blocks","HAB","True","True","True","False","True"
"builders","HAB","True","True","True","False","False"
"bullying-chat","SIM","False","True","False","True","False"
"calm","SIM","True","True","True","False","False"
"catch","HAB","True","True","False","False","False"
"categories","SIM","True","True","True","True","True"
"checkers","HAB","True","True","True","False","False"
"chess","HAB","True","True","True","False","False"
"clock","SIM","True","True","True","True","True"
"colored-spelling","SIM","True","True","True","False","False"
"coloring","HAB","True","True","False","False","False"
"comedy-club","SIM","True","True","True","True","True"
"connect-dots","HAB","True","True","False","False","False"
"connect-four","HAB","True","True","True","False","False"
"dictionary","SIM","True","True","True","False","False"
"differences","HAB","True","True","True","False","False"
"doctor-visit","SIM","True","True","True","True","True"
"domino","HAB","True","True","True","False","False"
"double-meaning","SIM","True","True","True","False","False"
"ecos","HAB","True","True","True","False","False"
"emergencies","SIM","True","False","True","True","True"
"emotions","HAB","False","False","False","False","False"
"first-aid-kit","SIM","True","True","True","True","True"
"fit","HAB","True","True","True","False","True"
"friends","SIM","True","True","True","True","True"
"good-manners","SIM","False","True","False","False","False"
"healthy-food","SIM","True","True","True","True","True"
"house","SIM","True","True","True","False","False"
"idioms","SIM","True","True","True","True","True"
"keyboard-typing","HAB","False","True","True","False","False"
"math-tables","SIM","True","True","True","False","False"
"my-agenda","SIM","True","True","True","False","False"
"my-body","SIM","True","True","True","True","True"
"my-details","SIM","True","True","True","False","False"
"numbers","SIM","True","True","True","True","True"
"oca","HAB","True","True","True","False","False"
"odd-one-out","SIM","True","True","True","True","True"
"pairs","HAB","True","True","True","False","False"
"path","HAB","True","True","True","False","False"
"patterns","SIM","True","True","True","True","True"
"phone-numbers","SIM","True","True","True","False","False"
"piano-keys","HAB","False","True","False","False","False"
"post-or-not","SIM","True","True","True","True","True"
"puzzle","HAB","True","True","True","False","False"
"quantities","SIM","True","True","True","False","False"
"resilience","SIM","True","True","True","True","True"
"riddles","SIM","True","True","True","True","True"
"roman-numerals","SIM","True","True","True","False","False"
"routines","SIM","True","True","True","False","False"
"safe-chat","SIM","False","True","True","True","False"
"self-esteem","SIM","True","True","True","True","True"
"sentence","SIM","True","True","True","True","True"
"sexual-health","SIM","True","True","True","True","False"
"shop","SIM","True","True","True","False","True"
"shopping","SIM","True","True","True","True","True"
"signs","SIM","True","True","True","True","True"
"situations","SIM","True","True","True","True","True"
"social-safety","SIM","True","True","False","True","False"
"spelling","SIM","True","True","True","False","False"
"stories","HAB","True","True","True","True","True"
"street","SIM","True","True","True","True","True"
"task-list","SIM","True","True","True","False","False"
"theatre","SIM","True","True","True","False","True"
"tic-tac-toe","HAB","True","True","True","False","False"
"times-of-day","SIM","True","True","True","True","True"
"tracing","HAB","True","True","True","False","False"
"trust-circle","SIM","True","True","True","True","True"
"turns-mirrors","HAB","True","True","True","False","True"
"visual-sudoku","HAB","True","True","True","False","True"
"vocabulary","SIM","True","True","True","False","False"
"wallet","SIM","True","True","True","False","True"
"what-do-i-need","SIM","True","True","True","True","True"
"what-first","SIM","True","True","True","True","True"
"whats-missing","SIM","True","True","True","True","True"
"what-to-wear","SIM","True","True","True","True","True"
"where-is","HAB","True","True","True","False","True"
"where-to-store","SIM","True","True","True","True","True"
"while-help-arrives","SIM","True","True","True","True","True"
"words","SIM","True","True","True","True","True"
"word-search","SIM","True","True","True","False","False"
